amount,age,target
322.6,35,0
1341.89,24,1
8040.4,23,0
382.87,23,0
4597.66,19,1
6472.57,62,0
2061.92,55,0
7836.77,66,1
6313.44,39,0
2016.29,66,1
925.44,24,1
3161.21,34,1
6594.61,52,0
8308.43,23,1
7481.7,57,0
3318.55,30,0
507.84,32,0
8868.47,72,0
998.91,35,1
7523.58,28,0
1964.61,35,1
6183.57,22,0
1623.13,64,0
4214.12,35,1
5796.0,53,0
2986.12,67,1
2138.53,20,0
3670.37,22,0
8491.9,74,1
1992.38,49,0
8239.47,47,1
1342.71,65,1
2438.4,55,0
5293.44,41,0
8978.08,50,1
6826.46,73,0
5684.27,68,1
5408.04,42,0
8965.48,51,1
5023.71,78,1
6514.42,61,1
6782.81,67,0
1092.81,45,0
128.88,64,1
2444.16,50,0
4618.37,24,0
2756.16,58,0
1870.31,41,0
4900.47,67,0
8274.59,56,0
273.34,77,1
8869.36,69,1
615.53,74,1
800.94,64,0
715.99,66,0
1219.27,60,0
4993.25,34,0
5498.69,79,0
4899.74,64,1
6445.25,43,0
